Instgarm accounts,1st day followers,Total followers,14/03/2022,15/03/2022,16/03/2022,17/03/2022,18/03/2022,19/03/2022,20/03/2022,21/03/2022,22/03/2022,23/03/2022,24/03/2022,25/03/2022,26/03/2022,27/03/2022,28/03/2022,29/03/2022
https://www.instagram.com/dzakysz/,74,74,1,2,0,2,0,1,0,0,1,0,1,0,0,1,0,1
,,,,,2,3,4,1,2,2,1,1,1,2,2,1,1,2
https://www.instagram.com/ak______010/,639,639,0,1,1,0,3,0,2,2,4,0,0,2,2,4,0,5
https://www.instagram.com/__hell_lover_/,4,4,2,3,1,0,2,2,1,0,3,1,2,1,0,3,1,1
https://www.instagram.com/morgan.kkjj/,,,3,0,1,1,0,3,3,0,2,1,3,3,0,2,1,2
https://www.instagram.com/tamiresx___/,"1,604","1,604",1,1,2,0,1,0,4,0,1,1,0,4,0,1,1,1
https://www.instagram.com/parsoya594/,323,323,0,0,0,2,1,4,2,3,0,0,4,2,3,0,0,0
https://www.instagram.com/its_priya_949/,48,48,0,2,0,3,1,1,0,1,1,1,1,0,1,1,1,0
https://www.instagram.com/leofatrio/,175,175,0,2,0,0,2,1,1,0,0,1,1,1,0,0,1,3
https://www.instagram.com/sonbaharr044/,448,448,0,1,1,1,0,0,1,1,1,3,0,1,1,1,3,1
https://www.instagram.com/sharmapranav6/,1,1,1,0,0,3,1,1,0,2,1,2,1,0,2,1,2,2
https://www.instagram.com/saeedn783/,55,55,2,2,0,2,2,0,0,0,1,2,0,0,0,1,2,0
https://www.instagram.com/lowking25_priv/,225,225,3,1,1,1,2,1,1,3,0,1,1,1,3,0,1,0
https://www.instagram.com/pritampaglachoda/,,,4,0,0,2,0,1,0,0,1,0,1,0,0,1,0,1
